name,sub,url,style,img,symbols,id
Trystane Martell,Died Ep. 51,http://gameofthrones.wikia.com/wiki/Trystane_Martell,,Martell.jpg,,68
Areo Hotah,Died Ep. 51,http://gameofthrones.wikia.com/wiki/Areo_Hotah,,,,70
Jon Snow,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Jon_Snow,,Stark.jpg,hand,64
Myrcella Baratheon,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Myrcella_Baratheon,,Baratheon.jpg,,63
Meryn Trant,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Meryn_Trant,,,,62
Myranda,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Myranda,,,,61
Stannis Baratheon,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Stannis_Baratheon,,Baratheon.jpg,,60
Selyse Baratheon,Died Ep. 50,http://gameofthrones.wikia.com/wiki/Selyse_Baratheon,,Baratheon.jpg,,59
Hizdahr zo Loraq,Died Ep. 49,http://gameofthrones.wikia.com/wiki/Hizdahr_zo_Loraq,,,,65
Shireen Baratheon,Died Ep. 49,http://gameofthrones.wikia.com/wiki/Shireen_Baratheon,,Baratheon.jpg,,58
Karsi,Died Ep. 48,http://gameofthrones.wikia.com/wiki/Karsi,,,,57
Rattleshirt,Died Ep. 48,http://gameofthrones.wikia.com/wiki/Lord_of_Bones,,,,56
Aemon Targaryen,Died Ep. 47,http://gameofthrones.wikia.com/wiki/Aemon,,Targaryen.jpg,crow,55
Barristan Selmy,Died Ep. 44,http://gameofthrones.wikia.com/wiki/Barristan_Selmy,,,,54
Janos Slynt,Died Ep. 43,http://gameofthrones.wikia.com/wiki/Janos_Slynt,,,crow,53
Mossador,Died Ep. 42,http://gameofthrones.wikia.com/wiki/Mossador,,,,52
Mance Rayder,Died Ep. 41,http://gameofthrones.wikia.com/wiki/Mance_Rayder,,,,51
Tywin Lannister,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Tywin_Lannister,,Lannister.jpg,,49
Jojen Reed,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Jojen_Reed,,,,50
Shae,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Shae,,,,48
The Hound,Died Ep. 40,http://gameofthrones.wikia.com/wiki/Sandor_Clegane,,,hand,66
Ygritte,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Ygritte,,,,44
Styr,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Styr,,,,47
Pyp,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Pypar,,,crow,46
Grenn,Died Ep. 39,http://gameofthrones.wikia.com/wiki/Grenn,,,crow,45
Oberyn Martell,Died Ep. 38,http://gameofthrones.wikia.com/wiki/Oberyn_Martell,,Martell.jpg,,43
Lysa Arryn,Died Ep. 37,http://gameofthrones.wikia.com/wiki/Lysa_Arryn,,Arryn.jpg,,42
Rorge,Died Ep. 37,http://gameofthrones.wikia.com/wiki/Rorge,,,,41
Biter,Died Ep. 37,http://gameofthrones.wikia.com/wiki/Biter,,,,40
Locke,Died Ep. 35,http://gameofthrones.wikia.com/wiki/Locke,,,,37
Karl Tanner,Died Ep. 35,http://gameofthrones.wikia.com/wiki/Karl_Tanner,,,crow,39
Rast,Died Ep. 35,http://gameofthrones.wikia.com/wiki/Rast,,,crow,38
Dontos Hollard,Died Ep. 33,http://gameofthrones.wikia.com/wiki/Dontos_Hollard,,,,36
Joffrey Baratheon,Died Ep. 32,http://gameofthrones.wikia.com/wiki/Joffrey_Baratheon,,Baratheon.jpg,,32
Polliver,Died Ep. 31,http://gameofthrones.wikia.com/wiki/Polliver,,,,31
Catelyn Stark,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Catelyn_Stark,,Stark.jpg,,6
Grey Wind,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Grey_Wind,,Stark.jpg,,33
Talisa Stark,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Talisa_Stark,,Stark.jpg,,7
Robb Stark,Died Ep. 29,http://gameofthrones.wikia.com/wiki/Robb_Stark,,Stark.jpg,,1
